"id","ciudad","municipio_id","ip","host","deleted_at","created_at","updated_at","searchtext","status","creado_por_id"
49,"OCOZOCOAUTLA DE ESPINOSA",138,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'espin':3 'ocozocoautl':1",False,1
50,"PALENQUE",142,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'palenqu':1",False,1
51,"PICHUCALCO",145,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'pichucalc':1",False,1
52,"PIJIJIAPAN",146,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'pijijiap':1",False,1
53,"PUERTO MADERO (SAN BENITO)",165,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'benit':4 'mader':2 'puert':1 'san':3",False,1
54,"REFORMA",151,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'reform':1",False,1
55,"SAN CRISTÓBAL DE LAS CASAS",155,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cas':5 'cristobal':2 'san':1",False,1
56,"TAPACHULA DE CÓRDOVA Y ORDÓÑEZ",165,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cordov':3 'ordoñez':5 'tapachul':1",False,1
57,"TONALÁ",172,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tonal':1",False,1
58,"TUXTLA GUTIÉRREZ",176,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'gutierrez':2 'tuxtl':1",False,1
59,"VENUSTIANO CARRANZA",181,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'carranz':2 'venustian':1",False,1
60,"VILLAFLORES",183,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'villaflor':1",False,1
61,"JUÁREZ",216,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'juarez':1",False,1
62,"HIDALGO DEL PARRAL",232,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'hidalg':1 'parral':3",False,1
63,"SANTA ROSALÍA CAMARGO",212,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'camarg':3 'rosal':2 'sant':1",False,1
64,"SAUCILLO",262,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'saucill':1",False,1
65,"CHIHUAHUA",201,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'chihuahu':1",False,1
66,"NUEVO CASAS GRANDES",249,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cas':2 'grand':3 'nuev':1",False,1
67,"MORELOS",1340,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'morel':1",False,1
68,"DELICIAS",221,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'delici':1",False,1
69,"MANUEL OJINAGA",251,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'manuel':1 'ojinag':2",False,1
70,"XOCHIMILCO",282,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'xochimilc':1",False,1
71,"TLALPAN",280,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tlalp':1",False,1
72,"TLÁHUAC",279,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'tlahuac':1",False,1
73,"MILPA ALTA",278,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'alta':2 'milp':1",False,1
74,"MIGUEL HIDALGO",277,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'hidalg':2 'miguel':1",False,1
75,"MAGDALENA CONTRERAS",276,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'contrer':2 'magdalen':1",False,1
76,"IZTAPALAPA",275,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'iztapalap':1",False,1
77,"IZTACALCO",274,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'iztacalc':1",False,1
78,"GUSTAVO A. MADERO",273,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'gustav':1 'mader':3",False,1
79,"CUAJIMALPA DE MORELOS",271,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'cuajimalp':1 'morel':3",False,1
80,"COYOACÁN",270,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'coyoacan':1",False,1
81,"BENITO JUÁREZ",269,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'benit':1 'juarez':2",False,1
82,"AZCAPOTZALCO",268,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'azcapotzalc':1",False,1
83,"ÁLVARO OBREGÓN",267,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'alvar':1 'obregon':2",False,1
84,"CANATLÁN",284,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'canatlan':1",False,1
85,"VICTORIA DE DURANGO",283,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'durang':3 'victori':1",False,1
86,"SANTA MARÍA DEL ORO",288,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'mar':2 'oro':4 'sant':1",False,1
87,"GÓMEZ PALACIO",290,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'gomez':1 'palaci':2",False,1
88,"CIUDAD LERDO",295,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'ciud':1 'lerd':2",False,1
89,"NOMBRE DE DIOS",299,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'dios':3 'nombr':1",False,1
90,"FRANCISCO I. MADERO",304,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'francisc':1 'i':2 'mader':3",False,1
91,"PEÑÓN BLANCO",305,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'blanc':2 'peñon':1",False,1
92,"EL SALTO",307,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'salt':2",False,1
93,"SAN JUAN DEL RÍO DEL CENTAURO DEL NORTE",312,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'centaur':6 'juan':2 'nort':8 'rio':4 'san':1",False,1
94,"SANTIAGO PAPASQUIARO",316,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'papasquiar':2 'santiag':1",False,1
95,"VICENTE GUERRERO",322,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'guerrer':2 'vicent':1",False,1
96,"ABASOLO",324,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'abasol':1",False,1
97,"ACÁMBARO",325,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'acambar':1",False,1
98,"APASEO EL ALTO",327,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'alto':3 'apase':1",False,1
99,"APASEO EL GRANDE",328,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'apase':1 'grand':3",False,1
100,"CELAYA",330,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'celay':1",False,1
101,"RINCÓN DE TAMAYO",330,"","",NULL,"2020-07-08 16:33:31","2020-07-08 16:33:31","'rincon':1 'tamay':3",False,1
102,"COMONFORT",331,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'comonfort':1",False,1
103,"EMPALME ESCOBEDO",331,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'empalm':1 'escobed':2",False,1
104,"CORTAZAR",333,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cortaz':1",False,1
105,"CUERÁMARO",334,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cueramar':1",False,1
106,"DOCTOR MORA",372,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'doctor':1 'mor':2",False,1
107,"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",335,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cun':3 'dolor':1 'hidalg':2 'independent':6 'nacional':7",False,1
108,"MARFIL",323,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'marfil':1",False,1
109,"GUANAJUATO",323,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'guanajuat':1",False,1
110,"HUANÍMARO",336,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'huanimar':1",False,1
111,"IRAPUATO",337,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'irapuat':1",False,1
112,"JARAL DEL PROGRESO",338,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jaral':1 'progres':3",False,1
113,"JERÉCUARO",340,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'jerecuar':1",False,1
114,"LEÓN DE LOS ALDAMA",342,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'aldam':4 'leon':1",False,1
115,"CIUDAD MANUEL DOBLADO",343,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'ciud':1 'dobl':3 'manuel':2",False,1
116,"MOROLEÓN",345,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'moroleon':1",False,1
117,"PÉNJAMO",347,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'penjam':1",False,1
118,"PURÍSIMA DE BUSTOS",350,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'bust':3 'purisim':1",False,1
119,"ROMITA",351,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'romit':1",False,1
120,"SALAMANCA",352,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'salamanc':1",False,1
121,"SALVATIERRA",353,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'salvatierr':1",False,1
122,"SAN DIEGO DE LA UNIÓN",356,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'dieg':2 'san':1 'union':5",False,1
123,"SAN FRANCISCO DEL RINCÓN",360,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'francisc':2 'rincon':4 'san':1",False,1
124,"SAN MIGUEL DE ALLENDE",361,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'allend':4 'miguel':2 'san':1",False,1
125,"SANTIAGO MARAVATÍO",362,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'maravati':2 'santiag':1",False,1
